2026-02-19 14:11:51 | INFO     | arxiv-rag.embed_recovered | [11/226] Processing: 2501.05680v1
2026-02-19 14:11:51 | INFO     | arxiv-rag.chunker | Chunked 2501.05680v1: 38 chunks, 15236 tokens
2026-02-19 14:11:51 | INFO     | arxiv-rag.embed_recovered |   Created 38 chunks
2026-02-19 14:11:52 | INFO     | arxiv-rag.embed_recovered |   Embedded 38 chunks
2026-02-19 14:11:53 | INFO     | arxiv-rag.supabase | Batch upserted 38 chunks
2026-02-19 14:11:53 | INFO     | arxiv-rag.embed_recovered |   Saved 38 chunks to DB
2026-02-19 14:11:53 | INFO     | arxiv-rag.embed_recovered | [12/226] Processing: 2501.02295v4
2026-02-19 14:11:53 | INFO     | arxiv-rag.chunker | Chunked 2501.02295v4: 22 chunks, 6850 tokens
2026-02-19 14:11:53 | INFO     | arxiv-rag.embed_recovered |   Created 22 chunks
2026-02-19 14:11:53 | INFO     | arxiv-rag.embed_recovered |   Embedded 22 chunks
2026-02-19 14:11:53 | INFO     | arxiv-rag.supabase | Batch upserted 22 chunks
2026-02-19 14:11:53 | INFO     | arxiv-rag.embed_recovered |   Saved 22 chunks to DB
2026-02-19 14:11:53 | INFO     | arxiv-rag.embed_recovered | [13/226] Processing: 2502.05187v1
2026-02-19 14:11:53 | INFO     | arxiv-rag.chunker | Chunked 2502.05187v1: 26 chunks, 8227 tokens
2026-02-19 14:11:53 | INFO     | arxiv-rag.embed_recovered |   Created 26 chunks
2026-02-19 14:11:54 | INFO     | arxiv-rag.embed_recovered |   Embedded 26 chunks
2026-02-19 14:11:54 | INFO     | arxiv-rag.supabase | Batch upserted 26 chunks
2026-02-19 14:11:54 | INFO     | arxiv-rag.embed_recovered |   Saved 26 chunks to DB
2026-02-19 14:11:54 | INFO     | arxiv-rag.embed_recovered | [14/226] Processing: 2501.16616v1
2026-02-19 14:11:54 | INFO     | arxiv-rag.chunker | Chunked 2501.16616v1: 20 chunks, 6399 tokens
2026-02-19 14:11:54 | INFO     | arxiv-rag.embed_recovered |   Created 20 chunks
2026-02-19 14:11:55 | INFO     | arxiv-rag.embed_recovered |   Embedded 20 chunks
2026-02-19 14:11:55 | INFO     | arxiv-rag.supabase | Batch upserted 20 chunks
2026-02-19 14:11:55 | INFO     | arxiv-rag.embed_recovered |   Saved 20 chunks to DB
2026-02-19 14:11:55 | INFO     | arxiv-rag.embed_recovered | [15/226] Processing: 2501.02385v2
2026-02-19 14:11:55 | INFO     | arxiv-rag.chunker | Chunked 2501.02385v2: 32 chunks, 9308 tokens
2026-02-19 14:11:55 | INFO     | arxiv-rag.embed_recovered |   Created 32 chunks
2026-02-19 14:11:55 | INFO     | arxiv-rag.embed_recovered |   Embedded 32 chunks
2026-02-19 14:11:56 | INFO     | arxiv-rag.supabase | Batch upserted 32 chunks
2026-02-19 14:11:56 | INFO     | arxiv-rag.embed_recovered |   Saved 32 chunks to DB
2026-02-19 14:11:56 | INFO     | arxiv-rag.embed_recovered | [16/226] Processing: 2501.18863v1
2026-02-19 14:11:56 | INFO     | arxiv-rag.chunker | Chunked 2501.18863v1: 36 chunks, 12474 tokens
2026-02-19 14:11:56 | INFO     | arxiv-rag.embed_recovered |   Created 36 chunks
2026-02-19 14:11:56 | INFO     | arxiv-rag.embed_recovered |   Embedded 36 chunks
2026-02-19 14:11:57 | INFO     | arxiv-rag.supabase | Batch upserted 36 chunks
2026-02-19 14:11:57 | INFO     | arxiv-rag.embed_recovered |   Saved 36 chunks to DB
2026-02-19 14:11:57 | INFO     | arxiv-rag.embed_recovered | [17/226] Processing: 2501.13453v1
2026-02-19 14:11:57 | INFO     | arxiv-rag.chunker | Chunked 2501.13453v1: 125 chunks, 45253 tokens
2026-02-19 14:11:57 | INFO     | arxiv-rag.embed_recovered |   Created 125 chunks
2026-02-19 14:11:59 | INFO     | arxiv-rag.embed_recovered |   Embedded 125 chunks
2026-02-19 14:12:01 | INFO     | arxiv-rag.supabase | Batch upserted 125 chunks
2026-02-19 14:12:01 | INFO     | arxiv-rag.embed_recovered |   Saved 125 chunks to DB
2026-02-19 14:12:01 | INFO     | arxiv-rag.embed_recovered | [18/226] Processing: 2501.05644v2
2026-02-19 14:12:01 | INFO     | arxiv-rag.chunker | Chunked 2501.05644v2: 27 chunks, 9832 tokens
2026-02-19 14:12:01 | INFO     | arxiv-rag.embed_recovered |   Created 27 chunks
2026-02-19 14:12:01 | INFO     | arxiv-rag.embed_recovered |   Embedded 27 chunks
2026-02-19 14:12:01 | INFO     | arxiv-rag.supabase | Batch upserted 27 chunks
2026-02-19 14:12:01 | INFO     | arxiv-rag.embed_recovered |   Saved 27 chunks to DB
2026-02-19 14:12:01 | INFO     | arxiv-rag.embed_recovered | [19/226] Processing: 2501.13284v1
2026-02-19 14:12:01 | INFO     | arxiv-rag.chunker | Chunked 2501.13284v1: 73 chunks, 23083 tokens
2026-02-19 14:12:01 | INFO     | arxiv-rag.embed_recovered |   Created 73 chunks
2026-02-19 14:12:03 | INFO     | arxiv-rag.embed_recovered |   Embedded 73 chunks
2026-02-19 14:12:04 | INFO     | arxiv-rag.supabase | Batch upserted 73 chunks
2026-02-19 14:12:04 | INFO     | arxiv-rag.embed_recovered |   Saved 73 chunks to DB
2026-02-19 14:12:04 | INFO     | arxiv-rag.embed_recovered | [20/226] Processing: 2501.07493v1
2026-02-19 14:12:04 | INFO     | arxiv-rag.chunker | Chunked 2501.07493v1: 28 chunks, 8562 tokens
2026-02-19 14:12:04 | INFO     | arxiv-rag.embed_recovered |   Created 28 chunks
2026-02-19 14:12:04 | INFO     | arxiv-rag.embed_recovered |   Embedded 28 chunks
2026-02-19 14:12:05 | INFO     | arxiv-rag.supabase | Batch upserted 28 chunks
2026-02-19 14:12:05 | INFO     | arxiv-rag.embed_recovered |   Saved 28 chunks to DB
2026-02-19 14:12:05 | INFO     | arxiv-rag.embed_recovered |   [GPU memory cleared]
2026-02-19 14:12:05 | INFO     | arxiv-rag.embed_recovered | [21/226] Processing: 2501.15602v3
2026-02-19 14:12:05 | INFO     | arxiv-rag.chunker | Chunked 2501.15602v3: 0 chunks, 0 tokens
2026-02-19 14:12:05 | WARNING  | arxiv-rag.embed_recovered |   No chunks created
2026-02-19 14:12:05 | INFO     | arxiv-rag.embed_recovered | [22/226] Processing: 2501.05874v3
2026-02-19 14:12:05 | INFO     | arxiv-rag.chunker | Chunked 2501.05874v3: 29 chunks, 8501 tokens
2026-02-19 14:12:05 | INFO     | arxiv-rag.embed_recovered |   Created 29 chunks
2026-02-19 14:12:05 | INFO     | arxiv-rag.embed_recovered |   Embedded 29 chunks
2026-02-19 14:12:06 | INFO     | arxiv-rag.supabase | Batch upserted 29 chunks
2026-02-19 14:12:06 | INFO     | arxiv-rag.embed_recovered |   Saved 29 chunks to DB
2026-02-19 14:12:06 | INFO     | arxiv-rag.embed_recovered | [23/226] Processing: 2501.01329v1
2026-02-19 14:12:06 | INFO     | arxiv-rag.chunker | Chunked 2501.01329v1: 2 chunks, 569 tokens
2026-02-19 14:12:06 | INFO     | arxiv-rag.embed_recovered |   Created 2 chunks
2026-02-19 14:12:06 | INFO     | arxiv-rag.embed_recovered |   Embedded 2 chunks
2026-02-19 14:12:06 | INFO     | arxiv-rag.supabase | Batch upserted 2 chunks
2026-02-19 14:12:06 | INFO     | arxiv-rag.embed_recovered |   Saved 2 chunks to DB
2026-02-19 14:12:06 | INFO     | arxiv-rag.embed_recovered | [24/226] Processing: 2501.18532v2
2026-02-19 14:12:06 | INFO     | arxiv-rag.chunker | Chunked 2501.18532v2: 0 chunks, 0 tokens
2026-02-19 14:12:06 | WARNING  | arxiv-rag.embed_recovered |   No chunks created
2026-02-19 14:12:06 | INFO     | arxiv-rag.embed_recovered | [25/226] Processing: 2501.08648v2
2026-02-19 14:12:06 | INFO     | arxiv-rag.chunker | Chunked 2501.08648v2: 25 chunks, 7973 tokens
2026-02-19 14:12:06 | INFO     | arxiv-rag.embed_recovered |   Created 25 chunks
2026-02-19 14:12:06 | INFO     | arxiv-rag.embed_recovered |   Embedded 25 chunks
2026-02-19 14:12:07 | INFO     | arxiv-rag.supabase | Batch upserted 25 chunks
2026-02-19 14:12:07 | INFO     | arxiv-rag.embed_recovered |   Saved 25 chunks to DB
2026-02-19 14:12:07 | INFO     | arxiv-rag.embed_recovered | [26/226] Processing: 2501.07278v2
2026-02-19 14:12:07 | INFO     | arxiv-rag.chunker | Chunked 2501.07278v2: 96 chunks, 27528 tokens
2026-02-19 14:12:07 | INFO     | arxiv-rag.embed_recovered |   Created 96 chunks
2026-02-19 14:12:09 | INFO     | arxiv-rag.embed_recovered |   Embedded 96 chunks
2026-02-19 14:12:10 | INFO     | arxiv-rag.supabase | Batch upserted 96 chunks
2026-02-19 14:12:10 | INFO     | arxiv-rag.embed_recovered |   Saved 96 chunks to DB
2026-02-19 14:12:10 | INFO     | arxiv-rag.embed_recovered | [27/226] Processing: 2501.01108v2
2026-02-19 14:12:10 | INFO     | arxiv-rag.chunker | Chunked 2501.01108v2: 33 chunks, 9477 tokens
2026-02-19 14:12:10 | INFO     | arxiv-rag.embed_recovered |   Created 33 chunks
2026-02-19 14:12:10 | INFO     | arxiv-rag.embed_recovered |   Embedded 33 chunks
2026-02-19 14:12:11 | INFO     | arxiv-rag.supabase | Batch upserted 33 chunks
2026-02-19 14:12:11 | INFO     | arxiv-rag.embed_recovered |   Saved 33 chunks to DB
2026-02-19 14:12:11 | INFO     | arxiv-rag.embed_recovered | [28/226] Processing: 2501.01120v2
2026-02-19 14:12:11 | INFO     | arxiv-rag.chunker | Chunked 2501.01120v2: 1 chunks, 229 tokens
2026-02-19 14:12:11 | INFO     | arxiv-rag.embed_recovered |   Created 1 chunks
2026-02-19 14:12:11 | INFO     | arxiv-rag.embed_recovered |   Embedded 1 chunks
2026-02-19 14:12:11 | INFO     | arxiv-rag.supabase | Batch upserted 1 chunks
2026-02-19 14:12:11 | INFO     | arxiv-rag.embed_recovered |   Saved 1 chunks to DB
2026-02-19 14:12:11 | INFO     | arxiv-rag.embed_recovered | [29/226] Processing: 2501.14269v2
2026-02-19 14:12:11 | INFO     | arxiv-rag.chunker | Chunked 2501.14269v2: 37 chunks, 10574 tokens
2026-02-19 14:12:11 | INFO     | arxiv-rag.embed_recovered |   Created 37 chunks
2026-02-19 14:12:12 | INFO     | arxiv-rag.embed_recovered |   Embedded 37 chunks
2026-02-19 14:12:12 | INFO     | arxiv-rag.supabase | Batch upserted 37 chunks
2026-02-19 14:12:12 | INFO     | arxiv-rag.embed_recovered |   Saved 37 chunks to DB
2026-02-19 14:12:12 | INFO     | arxiv-rag.embed_recovered | [30/226] Processing: 2501.01956v3
2026-02-19 14:12:12 | INFO     | arxiv-rag.chunker | Chunked 2501.01956v3: 0 chunks, 0 tokens
2026-02-19 14:12:12 | WARNING  | arxiv-rag.embed_recovered |   No chunks created
2026-02-19 14:12:12 | INFO     | arxiv-rag.embed_recovered | [31/226] Processing: 2501.15089v3
2026-02-19 14:12:12 | INFO     | arxiv-rag.chunker | Chunked 2501.15089v3: 25 chunks, 8788 tokens
2026-02-19 14:12:12 | INFO     | arxiv-rag.embed_recovered |   Created 25 chunks
2026-02-19 14:12:12 | INFO     | arxiv-rag.embed_recovered |   Embedded 25 chunks
2026-02-19 14:12:13 | INFO     | arxiv-rag.supabase | Batch upserted 25 chunks
2026-02-19 14:12:13 | INFO     | arxiv-rag.embed_recovered |   Saved 25 chunks to DB
2026-02-19 14:12:13 | INFO     | arxiv-rag.embed_recovered | [32/226] Processing: 2501.15417v3
2026-02-19 14:12:13 | INFO     | arxiv-rag.chunker | Chunked 2501.15417v3: 39 chunks, 13807 tokens
2026-02-19 14:12:13 | INFO     | arxiv-rag.embed_recovered |   Created 39 chunks
2026-02-19 14:12:14 | INFO     | arxiv-rag.embed_recovered |   Embedded 39 chunks
2026-02-19 14:12:15 | INFO     | arxiv-rag.supabase | Batch upserted 39 chunks
2026-02-19 14:12:15 | INFO     | arxiv-rag.embed_recovered |   Saved 39 chunks to DB
2026-02-19 14:12:15 | INFO     | arxiv-rag.embed_recovered | [33/226] Processing: 2501.16327v1
2026-02-19 14:12:15 | INFO     | arxiv-rag.chunker | Chunked 2501.16327v1: 0 chunks, 0 tokens
2026-02-19 14:12:15 | WARNING  | arxiv-rag.embed_recovered |   No chunks created
2026-02-19 14:12:15 | INFO     | arxiv-rag.embed_recovered | [34/226] Processing: 2501.13381v2
2026-02-19 14:12:15 | INFO     | arxiv-rag.chunker | Chunked 2501.13381v2: 33 chunks, 9015 tokens
2026-02-19 14:12:15 | INFO     | arxiv-rag.embed_recovered |   Created 33 chunks
2026-02-19 14:12:15 | INFO     | arxiv-rag.embed_recovered |   Embedded 33 chunks
2026-02-19 14:12:16 | INFO     | arxiv-rag.supabase | Batch upserted 33 chunks
2026-02-19 14:12:16 | INFO     | arxiv-rag.embed_recovered |   Saved 33 chunks to DB
2026-02-19 14:12:16 | INFO     | arxiv-rag.embed_recovered | [35/226] Processing: 2501.11211v1
2026-02-19 14:12:16 | INFO     | arxiv-rag.chunker | Chunked 2501.11211v1: 42 chunks, 14717 tokens
2026-02-19 14:12:16 | INFO     | arxiv-rag.embed_recovered |   Created 42 chunks
2026-02-19 14:12:16 | INFO     | arxiv-rag.embed_recovered |   Embedded 42 chunks
2026-02-19 14:12:17 | INFO     | arxiv-rag.supabase | Batch upserted 42 chunks
2026-02-19 14:12:17 | INFO     | arxiv-rag.embed_recovered |   Saved 42 chunks to DB
2026-02-19 14:12:17 | INFO     | arxiv-rag.embed_recovered | [36/226] Processing: 2501.18310v2
2026-02-19 14:12:17 | INFO     | arxiv-rag.chunker | Chunked 2501.18310v2: 28 chunks, 9992 tokens
2026-02-19 14:12:17 | INFO     | arxiv-rag.embed_recovered |   Created 28 chunks
2026-02-19 14:12:17 | INFO     | arxiv-rag.embed_recovered |   Embedded 28 chunks
2026-02-19 14:12:18 | INFO     | arxiv-rag.supabase | Batch upserted 28 chunks
2026-02-19 14:12:18 | INFO     | arxiv-rag.embed_recovered |   Saved 28 chunks to DB
2026-02-19 14:12:18 | INFO     | arxiv-rag.embed_recovered | [37/226] Processing: 2501.06848v5
2026-02-19 14:12:18 | INFO     | arxiv-rag.chunker | Chunked 2501.06848v5: 44 chunks, 16193 tokens
2026-02-19 14:12:18 | INFO     | arxiv-rag.embed_recovered |   Created 44 chunks
2026-02-19 14:12:18 | INFO     | arxiv-rag.embed_recovered |   Embedded 44 chunks
2026-02-19 14:12:19 | INFO     | arxiv-rag.supabase | Batch upserted 44 chunks
2026-02-19 14:12:19 | INFO     | arxiv-rag.embed_recovered |   Saved 44 chunks to DB
2026-02-19 14:12:19 | INFO     | arxiv-rag.embed_recovered | [38/226] Processing: 2501.02699v1
2026-02-19 14:12:19 | INFO     | arxiv-rag.chunker | Chunked 2501.02699v1: 27 chunks, 10125 tokens
2026-02-19 14:12:19 | INFO     | arxiv-rag.embed_recovered |   Created 27 chunks
2026-02-19 14:12:19 | INFO     | arxiv-rag.embed_recovered |   Embedded 27 chunks
2026-02-19 14:12:20 | INFO     | arxiv-rag.supabase | Batch upserted 27 chunks
2026-02-19 14:12:20 | INFO     | arxiv-rag.embed_recovered |   Saved 27 chunks to DB
2026-02-19 14:12:20 | INFO     | arxiv-rag.embed_recovered | [39/226] Processing: 2501.15749v1
2026-02-19 14:12:20 | INFO     | arxiv-rag.chunker | Chunked 2501.15749v1: 34 chunks, 9360 tokens
2026-02-19 14:12:20 | INFO     | arxiv-rag.embed_recovered |   Created 34 chunks
2026-02-19 14:12:20 | INFO     | arxiv-rag.embed_recovered |   Embedded 34 chunks
2026-02-19 14:12:21 | INFO     | arxiv-rag.supabase | Batch upserted 34 chunks
2026-02-19 14:12:21 | INFO     | arxiv-rag.embed_recovered |   Saved 34 chunks to DB
2026-02-19 14:12:21 | INFO     | arxiv-rag.embed_recovered | [40/226] Processing: 2501.05069v2
2026-02-19 14:12:21 | INFO     | arxiv-rag.chunker | Chunked 2501.05069v2: 27 chunks, 8948 tokens
2026-02-19 14:12:21 | INFO     | arxiv-rag.embed_recovered |   Created 27 chunks
2026-02-19 14:12:21 | INFO     | arxiv-rag.embed_recovered |   Embedded 27 chunks
2026-02-19 14:12:21 | INFO     | arxiv-rag.supabase | Batch upserted 27 chunks
2026-02-19 14:12:21 | INFO     | arxiv-rag.embed_recovered |   Saved 27 chunks to DB
2026-02-19 14:12:21 | INFO     | arxiv-rag.embed_recovered |   [GPU memory cleared]
2026-02-19 14:12:21 | INFO     | arxiv-rag.embed_recovered | [41/226] Processing: 2501.12370v3
2026-02-19 14:12:22 | INFO     | arxiv-rag.chunker | Chunked 2501.12370v3: 27 chunks, 8965 tokens
2026-02-19 14:12:22 | INFO     | arxiv-rag.embed_recovered |   Created 27 chunks
2026-02-19 14:12:22 | INFO     | arxiv-rag.embed_recovered |   Embedded 27 chunks
2026-02-19 14:12:22 | INFO     | arxiv-rag.supabase | Batch upserted 27 chunks
2026-02-19 14:12:22 | INFO     | arxiv-rag.embed_recovered |   Saved 27 chunks to DB
2026-02-19 14:12:22 | INFO     | arxiv-rag.embed_recovered | [42/226] Processing: 2501.15579v2
2026-02-19 14:12:22 | INFO     | arxiv-rag.chunker | Chunked 2501.15579v2: 0 chunks, 0 tokens
2026-02-19 14:12:22 | WARNING  | arxiv-rag.embed_recovered |   No chunks created
2026-02-19 14:12:22 | INFO     | arxiv-rag.embed_recovered | [43/226] Processing: 2501.09928v1
2026-02-19 14:12:23 | INFO     | arxiv-rag.chunker | Chunked 2501.09928v1: 45 chunks, 16471 tokens
2026-02-19 14:12:23 | INFO     | arxiv-rag.embed_recovered |   Created 45 chunks
2026-02-19 14:12:23 | INFO     | arxiv-rag.embed_recovered |   Embedded 45 chunks
2026-02-19 14:12:24 | INFO     | arxiv-rag.supabase | Batch upserted 45 chunks
2026-02-19 14:12:24 | INFO     | arxiv-rag.embed_recovered |   Saved 45 chunks to DB
2026-02-19 14:12:24 | INFO     | arxiv-rag.embed_recovered | [44/226] Processing: 2501.03225v2
2026-02-19 14:12:24 | INFO     | arxiv-rag.chunker | Chunked 2501.03225v2: 52 chunks, 19622 tokens
2026-02-19 14:12:24 | INFO     | arxiv-rag.embed_recovered |   Created 52 chunks
2026-02-19 14:12:25 | INFO     | arxiv-rag.embed_recovered |   Embedded 52 chunks
2026-02-19 14:12:26 | INFO     | arxiv-rag.supabase | Batch upserted 52 chunks
2026-02-19 14:12:26 | INFO     | arxiv-rag.embed_recovered |   Saved 52 chunks to DB
2026-02-19 14:12:26 | INFO     | arxiv-rag.embed_recovered | [45/226] Processing: 2501.09355v1
2026-02-19 14:12:26 | INFO     | arxiv-rag.chunker | Chunked 2501.09355v1: 99 chunks, 33737 tokens
2026-02-19 14:12:26 | INFO     | arxiv-rag.embed_recovered |   Created 99 chunks
2026-02-19 14:12:28 | INFO     | arxiv-rag.embed_recovered |   Embedded 99 chunks
2026-02-19 14:12:29 | INFO     | arxiv-rag.supabase | Batch upserted 99 chunks
2026-02-19 14:12:29 | INFO     | arxiv-rag.embed_recovered |   Saved 99 chunks to DB
2026-02-19 14:12:29 | INFO     | arxiv-rag.embed_recovered | [46/226] Processing: 2501.01303v1
2026-02-19 14:12:29 | INFO     | arxiv-rag.chunker | Chunked 2501.01303v1: 12 chunks, 3264 tokens
2026-02-19 14:12:29 | INFO     | arxiv-rag.embed_recovered |   Created 12 chunks
2026-02-19 14:12:29 | INFO     | arxiv-rag.embed_recovered |   Embedded 12 chunks
2026-02-19 14:12:29 | INFO     | arxiv-rag.supabase | Batch upserted 12 chunks
2026-02-19 14:12:29 | INFO     | arxiv-rag.embed_recovered |   Saved 12 chunks to DB
2026-02-19 14:12:29 | INFO     | arxiv-rag.embed_recovered | [47/226] Processing: 2501.03905v4
2026-02-19 14:12:29 | INFO     | arxiv-rag.chunker | Chunked 2501.03905v4: 48 chunks, 14833 tokens
2026-02-19 14:12:29 | INFO     | arxiv-rag.embed_recovered |   Created 48 chunks
2026-02-19 14:12:30 | INFO     | arxiv-rag.embed_recovered |   Embedded 48 chunks
